id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
44495,Bedroom with private bath in Southwest Las Vegas,195560,Lenore,,Unincorporated Areas,36.0116,-115.29714,Private room,55,2,55,2021-10-10,1.51,1,79,12,
44701,"Jan1-8, 2022 for CES, 1 block from Strip, Sleeps 6",189245,Christine,,Unincorporated Areas,36.11697,-115.16397,Entire home/apt,275,7,2,2020-01-12,0.03,1,269,0,
113019,MGM Signature Studio W/ View!,575684,LasVegasSuites,,Unincorporated Areas,36.10731,-115.16467,Entire home/apt,181,2,161,2021-10-17,1.45,13,113,13,
114140,MGM Signature 1BR/2BA Suite W/ View,575684,LasVegasSuites,,Unincorporated Areas,36.1087,-115.16571,Entire home/apt,177,2,126,2021-08-08,3.90,13,134,6,
137104,Vegas Luxury Palms Place Penthouse,670587,Premier,,Unincorporated Areas,36.11363,-115.1997,Entire home/apt,1900,2,51,2020-07-04,0.97,1,359,0,
143096,Furnished Las Vegas House with Pool,694506,Shari,,Unincorporated Areas,36.0515,-115.22581,Entire home/apt,150,29,228,2021-08-29,2.28,1,275,14,
161848,1 B/R Condo 2 miles W. Of The Strip,773999,Ken,,Unincorporated Areas,36.09734,-115.21124,Entire home/apt,92,1,110,2019-09-15,1.19,2,77,0,
169335,Corporate Private room for rent with private bath,806881,Jeven,,City of Las Vegas,36.23247,-115.27123,Private room,70,30,34,2021-09-03,0.50,2,354,1,
200680,"Pool Villa - 15 mins to Strip, 20 mins to Red Rock",981582,Jason & Kevin,,Unincorporated Areas,36.10438,-115.28984,Entire home/apt,471,2,132,2021-08-22,1.96,11,333,22,
201619,Las Vegas Luxury house with the pool,974021,Natalie,,Unincorporated Areas,36.07767,-115.2739,Entire home/apt,420,4,104,2021-10-12,1.15,1,344,15,
202452,Las Vegas Excitement/Romantic Stay,991487,Duke,,Unincorporated Areas,36.02031,-115.2739,Entire home/apt,147,2,247,2021-10-17,4.24,1,187,28,
216979,1 Bedroom Condo 2 miles to strip 1 block Orleans,773999,Ken,,Unincorporated Areas,36.09757,-115.21163,Entire home/apt,100,1,20,2021-10-11,0.58,2,134,1,
243305,las Vegas holiday resort 1 week  (51),65714,John,,Unincorporated Areas,36.10808,-115.16878,Entire home/apt,190,7,0,,,1,175,0,
258872,Your home away from home awaits!,1360561,Rosa,,City of Las Vegas,36.15303,-115.14884,Entire home/apt,265,3,235,2021-09-27,2.73,1,134,35,
294706,Quality Vacation in 3.5 🌟 Resort Suite 900sf,1523583,Robert,,Unincorporated Areas,36.06046,-115.17087,Entire home/apt,175,3,5,2021-09-07,0.09,1,149,2,
353122,"Vegas Villa - 2500 sq ft, 8 mins to the Strip",981582,Jason & Kevin,,Unincorporated Areas,36.09733,-115.23129,Entire home/apt,621,2,66,2021-08-13,0.61,11,335,5,
379026,1BD/1BA - SFH  month-to-month  entire house/garden,1903260,Elisabeth,,City of Las Vegas,36.15515,-115.28376,Entire home/apt,65,30,17,2021-07-05,0.21,1,307,3,
448160,Beautiful Villa in VEGAS,2225816,Jack,,Unincorporated Areas,36.05089,-115.13317,Private room,75,3,144,2020-03-10,1.88,1,235,0,
548524,"Las Vegas Pool House! Private Pool, Hot Tub, and Gigabit Internet in Ranch Home Near Downtown and Strip",2694714,Alex,,City of Las Vegas,36.15198,-115.13153,Entire home/apt,393,2,229,2021-10-17,3.89,1,298,29,
559871,condo in Las Vegas Tropicana,103427,Jacqueline M,,Unincorporated Areas,36.10072,-115.24644,Entire home/apt,311,2,0,,,6,361,0,
576367,2BR/2BA CENTER STRIP No Resort Fees! Free Parking!,1772843,Sheila,,Unincorporated Areas,36.10939,-115.17559,Entire home/apt,239,3,59,2019-03-25,0.55,19,203,0,
588895,MGM Signature Deluxe Suite!,575684,LasVegasSuites,,Unincorporated Areas,36.10836,-115.16444,Entire home/apt,160,2,151,2021-10-03,1.76,13,131,16,
598791,1 BR Center Strip Suite-NoResort Fees/FreeParking!,1772843,Sheila,,Unincorporated Areas,36.11108,-115.17545,Entire home/apt,171,3,114,2021-05-17,1.23,19,294,4,
601124,1 BR Center Strip Suite-NoResort Fees/FreeParking!,1772843,Sheila,,Unincorporated Areas,36.11018,-115.17519,Entire home/apt,171,3,60,2021-09-20,0.81,19,307,2,
639353,MGM Signature 1BR/2BA Suite!,575684,LasVegasSuites,,Unincorporated Areas,36.10752,-115.16636,Entire home/apt,288,2,105,2021-09-11,3.42,13,289,2,
640625,MGM Signature Junior Suite!,575684,LasVegasSuites,,Unincorporated Areas,36.10862,-115.16652,Entire home/apt,201,2,158,2021-09-12,1.58,13,133,2,
642588,MGM Signature 2BR/3BA Suite!!,575684,LasVegasSuites,,Unincorporated Areas,36.10871,-115.16571,Entire home/apt,517,2,101,2020-08-22,0.99,13,261,0,
652512,Luxurious Villa at Lake Las Vegas,3279603,Da,,City of Henderson,36.11518,-114.93084,Entire home/apt,135,30,0,,,1,162,0,
658643,Palms Place Balcony Strip View free wifi,3321660,Mike And Penny,,Unincorporated Areas,36.1149,-115.19771,Entire home/apt,235,1,310,2021-10-20,3.16,1,122,55,
685405,MGM Signature Penthouse 1BR/2BA Ste,575684,LasVegasSuites,,Unincorporated Areas,36.1075,-115.16477,Entire home/apt,218,1,132,2021-09-20,1.39,13,252,19,
695893,"condos in Las Vegas, Spencer Street",103427,Jacqueline M,,Unincorporated Areas,36.11186,-115.12971,Entire home/apt,307,2,0,,,6,363,0,
698126,Cozy / Mins to Strip / Private Pool & Yoga Space,1976268,Marco,,Unincorporated Areas,36.09005,-115.25709,Entire home/apt,374,4,100,2021-10-18,2.56,1,133,31,
707573,MGM Signature 2BR/3BA w/ Balcony,575684,LasVegasSuites,,Unincorporated Areas,36.10656,-115.16728,Entire home/apt,500,2,84,2020-09-27,0.84,13,257,0,
736193,"CLOSE TO THE STRIP, PVT. HOT TUB!",3842205,Nicolo,,Unincorporated Areas,36.1242,-115.14908,Entire home/apt,78,31,157,2021-05-06,2.34,2,81,3,
750907,☀2Br☀ Wyndham Grand Desert Resort HH3-IB,2995822,Kathy D,,Unincorporated Areas,36.10685,-115.16084,Entire home/apt,348,3,102,2021-07-02,1.31,40,0,3,
823854,"Palm Villa - Pool, 3300 sq ft",981582,Jason & Kevin,,Unincorporated Areas,36.09969,-115.2665,Entire home/apt,513,2,14,2021-05-24,0.14,11,334,1,
846722,Las Vegas blvd 2 br condo,103427,Jacqueline M,,Unincorporated Areas,36.03468,-115.17369,Entire home/apt,382,2,1,2015-01-07,0.01,6,174,0,
853398,The Pondarosa,4456147,Yolanda,,City of North Las Vegas,36.26736,-115.15107,Private room,35,2,51,2020-03-15,1.68,2,19,0,
855576,"Modern Home w/ Private Pool, Spa, Pool Table",3474397,Anthony,,City of Las Vegas,36.16538,-115.26514,Entire home/apt,183,31,27,2021-08-13,5.59,11,334,4,
865470,"Groovy Mid-Century Mod in Vegas, Baby!",4067262,Dana Moran,,Unincorporated Areas,36.12318,-115.11968,Private room,92,2,280,2021-10-16,3.58,1,133,2,
883590,Las Vegas Exquisite Condo,4677994,Markus,,Unincorporated Areas,36.11194,-115.18856,Entire home/apt,99,30,55,2021-09-30,1.03,4,332,12,
889457,Vdara at City Center - Studio Suite,575684,LasVegasSuites,,Unincorporated Areas,36.11018,-115.17754,Private room,176,2,19,2016-09-18,0.25,13,196,0,
890332,Modern Villa - 10 mins to the Strip,981582,Jason & Kevin,,Unincorporated Areas,36.05673,-115.21089,Entire home/apt,220,2,59,2021-10-11,0.84,11,308,11,
908280,Private Guest House. Pets considered.,4866812,Stephanie,,Unincorporated Areas,36.10632,-115.09046,Entire home/apt,135,1,652,2021-10-02,6.47,1,319,66,
910025,Polo Towers Suites & Villas Resorts,4880351,Mona,,Unincorporated Areas,36.10723,-115.16985,Private room,250,6,6,2020-01-11,0.14,2,365,0,
945060,"Charming 5 bedroom home w/ Spa, Game Room",3474397,Anthony,,Unincorporated Areas,35.9757,-115.16347,Entire home/apt,373,3,130,2021-09-27,3.23,11,309,26,
946044,"Grand Villa - Ping Pong, BBQ Patio",981582,Jason & Kevin,,Unincorporated Areas,36.10345,-115.28801,Entire home/apt,312,28,7,2021-08-31,0.07,11,365,1,
948041,Sweet+Smart HOME near LAS VEGAS STRIP + Golf View,4661797,Ying,,Unincorporated Areas,36.1391,-115.14576,Entire home/apt,60,31,28,2021-10-05,0.27,1,244,4,
971133,"3 bedrooms, self checkin, homeshare, near Red Rock",4169634,Michelle,,City of Las Vegas,36.14061,-115.30446,Private room,130,1,91,2021-05-29,1.24,3,58,1,
1074390,MGM Signature 2BR/3BA Balcony Suite!,575684,LasVegasSuites,,Unincorporated Areas,36.1059,-115.16572,Entire home/apt,421,1,89,2021-08-15,1.02,13,246,16,
1113286,2bd Las Vegas Strip Condo #B,1314138,Paul,,Unincorporated Areas,36.1056,-115.17019,Entire home/apt,999,3,17,2019-09-23,0.37,2,347,0,
1230380,Nevada-Las Vegas-Tropicana Resort 1 Bdrm Condo #1,602654,Rey,,Unincorporated Areas,36.10041,-115.21343,Entire home/apt,196,3,7,2016-09-27,0.15,11,83,0,
1230517,Nevada-Las Vegas-Spencer Street 1 Bdrm Condo,602654,Rey,,Unincorporated Areas,36.11382,-115.12908,Entire home/apt,163,3,4,2014-05-24,0.05,11,73,0,
1251427,Nevada-Las Vegas-Spencer Street 2 Bdrm Condo,602654,Rey,,Unincorporated Areas,36.11232,-115.12869,Entire home/apt,188,3,2,2016-09-16,0.03,11,66,0,
1251545,Nevada-Las Vegas-Tropicana 2 Bdrm Twin Condo,602654,Rey,,Unincorporated Areas,36.10042,-115.21343,Entire home/apt,226,3,9,2016-01-09,0.11,11,76,0,
1262499,Suite @ Tahiti Vacation Club,3094379,Uchenna,,Unincorporated Areas,36.09991,-115.21081,Entire home/apt,130,3,0,,,11,363,0,
1264372,WSOP-2bd-Walk to Rio-Strip view!!!,108270,Kiran,,Unincorporated Areas,36.11346,-115.18674,Entire home/apt,430,31,41,2020-02-24,0.71,2,64,0,
1275313,Relax !-Pool/Steam room/Gym,6914717,Phil,,Unincorporated Areas,36.01324,-115.12633,Private room,66,3,82,2021-01-03,1.22,2,331,2,
1279742,Cozy Blue room 2 miles from strip,6963952,Ron,,Unincorporated Areas,36.0939,-115.14237,Private room,28,31,150,2021-07-19,1.62,4,331,3,
1285201,"Palm Villa - Private Pool, 3300 sq ft",981582,Jason & Kevin,,Unincorporated Areas,36.0483,-115.22705,Entire home/apt,514,2,95,2021-09-26,1.11,11,349,14,
