id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
698126,Cozy / Mins to Strip / Private Pool & Yoga Space,1976268,Marco,,Unincorporated Areas,36.09005,-115.25709,Entire home/apt,289,4,90,2021-06-07,2.53,1,158,26,
707573,MGM Signature 2BR/3BA w/ Balcony,575684,LasVegasSuites,,Unincorporated Areas,36.10656,-115.16728,Entire home/apt,546,2,84,2020-09-27,0.87,13,180,1,
736193,"CLOSE TO THE STRIP, PVT. HOT TUB!",3842205,Nicolo,,Unincorporated Areas,36.1242,-115.14908,Entire home/apt,75,31,157,2021-05-06,2.47,2,194,3,
846722,Las Vegas blvd 2 br condo,103427,Jacqueline M,,Unincorporated Areas,36.03468,-115.17369,Entire home/apt,382,2,1,2015-01-07,0.01,6,179,0,
855576,"Modern Home w/ Private Pool, Spa, Pool Table",3474397,Anthony,,City of Las Vegas,36.16538,-115.26514,Entire home/apt,125,31,26,2021-04-30,17.73,12,301,4,
865470,"Groovy Mid-Century Mod in Vegas, Baby!",4067262,Dana Moran,,Unincorporated Areas,36.12318,-115.11968,Private room,53,2,279,2021-05-31,3.73,1,63,1,
883590,Las Vegas Exquisite Condo,4677994,Markus,,Unincorporated Areas,36.11194,-115.18856,Entire home/apt,128,30,52,2021-06-27,1.04,4,147,11,
889457,Vdara at City Center - Studio Suite,575684,LasVegasSuites,,Unincorporated Areas,36.11018,-115.17754,Private room,176,2,19,2016-09-18,0.26,13,95,0,
890332,Modern Villa - 10 mins to the Strip,981582,Jason & Kevin,,Unincorporated Areas,36.05673,-115.21089,Entire home/apt,249,2,55,2021-05-31,0.82,8,331,10,
908280,Private Guest House. Pets considered.,4866812,Stephanie,,Unincorporated Areas,36.10632,-115.09046,Entire home/apt,104,1,634,2021-06-25,6.51,1,293,72,
910025,Polo Towers Suites & Villas Resorts,4880351,Mona,,Unincorporated Areas,36.10723,-115.16985,Private room,250,6,6,2020-01-11,0.15,2,365,0,
945060,"Charming 5 bedroom home w/ Spa, Game Room",3474397,Anthony,,Unincorporated Areas,35.9757,-115.16347,Entire home/apt,250,3,118,2021-06-24,3.19,12,287,21,
946044,"Grand Villa - Ping Pong, BBQ Patio",981582,Jason & Kevin,,Unincorporated Areas,36.10345,-115.28801,Entire home/apt,312,28,6,2020-06-17,0.06,8,27,0,
948041,Sweet+Smart HOME near LAS VEGAS STRIP + Golf View,4661797,Ying,,Unincorporated Areas,36.1391,-115.14576,Entire home/apt,70,31,26,2021-07-02,0.26,1,290,3,
971133,"3 bedrooms, self checkin, homeshare, near Red Rock",4169634,Michelle,,City of Las Vegas,36.14061,-115.30446,Private room,100,1,91,2021-05-29,1.30,3,57,1,
1074390,MGM Signature 2BR/3BA Balcony Suite!,575684,LasVegasSuites,,Unincorporated Areas,36.1059,-115.16572,Entire home/apt,429,1,84,2021-07-06,1.00,13,159,17,
1113286,2bd Las Vegas Strip Condo #B,1314138,Paul,,Unincorporated Areas,36.1056,-115.17019,Entire home/apt,499,3,17,2019-09-23,0.40,2,364,0,
1230380,Nevada-Las Vegas-Tropicana Resort 1 Bdrm Condo #1,602654,Rey,,Unincorporated Areas,36.10041,-115.21343,Entire home/apt,196,3,7,2016-09-27,0.16,11,96,0,
1230517,Nevada-Las Vegas-Spencer Street 1 Bdrm Condo,602654,Rey,,Unincorporated Areas,36.11382,-115.12908,Entire home/apt,163,3,4,2014-05-24,0.05,11,75,0,
1251427,Nevada-Las Vegas-Spencer Street 2 Bdrm Condo,602654,Rey,,Unincorporated Areas,36.11232,-115.12869,Entire home/apt,188,3,2,2016-09-16,0.03,11,71,0,
1251545,Nevada-Las Vegas-Tropicana 2 Bdrm Twin Condo,602654,Rey,,Unincorporated Areas,36.10042,-115.21343,Entire home/apt,226,3,9,2016-01-09,0.11,11,84,0,
1262499,Suite @ Tahiti Vacation Club,3094379,Uchenna,,Unincorporated Areas,36.09991,-115.21081,Entire home/apt,130,3,0,,,11,363,0,
1264372,Strip Close-2bd-Sleeps 6-Strip View-No Resort Fee,108270,Kiran,,Unincorporated Areas,36.11346,-115.18674,Entire home/apt,275,3,41,2020-02-24,0.75,2,89,0,
1275313,Relax !-Pool/Steam room/Gym,6914717,Phil,,Unincorporated Areas,36.01324,-115.12633,Private room,41,3,82,2021-01-03,1.29,2,338,4,
1279742,Cozy Blue room 2 miles from strip,6963952,Ron,,Unincorporated Areas,36.0939,-115.14237,Private room,28,31,149,2021-05-01,1.67,4,328,3,
1285201,"Palm Villa - Private Pool, 3300 sq ft",981582,Jason & Kevin,,Unincorporated Areas,36.0483,-115.22705,Entire home/apt,542,2,91,2021-06-06,1.11,8,324,18,
1287739,Cozy Yellow room 2 miles from strip,6963952,Ron,,Unincorporated Areas,36.09369,-115.14024,Private room,28,31,168,2020-02-23,1.83,4,164,0,
1292212,Cozy Green room 2 miles from strip,6963952,Ron,,Unincorporated Areas,36.09376,-115.14154,Private room,26,31,151,2020-04-19,1.83,4,163,0,
1364502,The Birdbath- Small Private Casita,7404839,Barbara,,City of Las Vegas,36.16234,-115.25434,Entire home/apt,87,5,273,2021-06-18,3.15,2,60,17,
1484286,Stunning Retreat 15 mins from Strip - Near M Hotel,7941063,Monica,,Unincorporated Areas,35.97358,-115.16755,Entire home/apt,98,28,78,2020-03-15,0.94,1,107,0,
1502652,MGM Signature ★ LUXURY ★ 1bed 2bath,8028377,Mario,,Unincorporated Areas,36.10492,-115.16745,Entire home/apt,109,30,1,2021-05-25,0.60,2,177,1,
1503117,Luxurious TownHome in Las Vegas/NV USA,8030765,Renee,,City of Henderson,36.05819,-115.07452,Entire home/apt,104,30,4,2020-11-01,0.17,3,282,3,
1508532,Vdara deluxe suite (Bellagio fountain view) for 4.,8058178,Paul,,Unincorporated Areas,36.10956,-115.17946,Entire home/apt,204,1,564,2021-07-11,6.71,1,276,61,
1543417,"Self check-in, west side, near Red Rock",4169634,Michelle,,City of Las Vegas,36.14179,-115.30266,Private room,50,1,85,2021-07-05,0.89,3,74,21,
