id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
25245938,Jay and Colleen McCashland,384091113,RedAwning,,City of Mesquite,36.82174,-114.06125,Entire home/apt,106,1,1,2019-01-20,0.03,86,364,0,
25245942,"Brand New Home - Golf Course Views, Large Backyard",384091113,RedAwning,,City of Mesquite,36.834606,-114.085129,Entire home/apt,126,1,2,2021-03-28,0.22,86,186,2,
25245963,3 Bedroom Condo Near All Mesquite Has to Offer,384091113,RedAwning,,City of Mesquite,36.822563,-114.061096,Entire home/apt,115,1,8,2021-05-30,0.63,86,205,7,
25245966,Springs Resort Condo with Large Kitchen - Great for Golf Group!,384091113,RedAwning,,City of Mesquite,36.802692,-114.090271,Entire home/apt,105,1,0,,,86,192,0,
25245984,Deluxe Condo Near Wolf Creek Golf Club - Pets Allowed!,384091113,RedAwning,,City of Mesquite,36.831459,-114.058456,Entire home/apt,105,1,1,2021-03-08,0.15,86,194,1,
25246001,Condo with Kitchen & Cookware - Dogs Allowed!,384091113,RedAwning,,City of Mesquite,36.802143,-114.090538,Entire home/apt,164,1,0,,,86,163,0,
25246023,"Spacious & Relaxing Condo - Pet Friendly, Shared Pool & Hot Tub",384091113,RedAwning,,City of Mesquite,36.822311,-114.060966,Entire home/apt,180,1,0,,,86,217,0,
25246037,Patty and Steve Kidd,384091113,RedAwning,,City of Mesquite,36.832512,-114.061226,Entire home/apt,115,1,2,2021-04-25,0.16,86,283,1,
25246039,Gorgeous Lime Wood St Home in Central Mesquite,384091113,RedAwning,,City of Mesquite,36.803928,-114.067223,Entire home/apt,143,1,3,2021-04-29,0.09,86,188,2,
25246065,Beautiful 2 Bedroom Ground Floor Condo - Pet Friendly,384091113,RedAwning,,City of Mesquite,36.801491,-114.090515,Entire home/apt,105,1,0,,,86,199,0,
25246074,"Spacious Condo Near Golf Courses, Dining & Casinos",384091113,RedAwning,,City of Mesquite,36.822262,-114.061462,Entire home/apt,111,1,2,2020-12-31,0.17,86,262,2,
25246087,Lenore Sorensen,384091113,RedAwning,,City of Mesquite,36.822262,-114.061462,Entire home/apt,164,1,0,,,86,214,0,
